1,"910003-001","COUNTRY","T","F",\N,"GB",\N,\N,1
2,"910008-001","REGION","T","F",12,\N,\N,\N,2
3,"910004-001","REGION","F","F",14,\N,\N,\N,1
4,"910000-001","GLOBAL","F","F",\N,\N,\N,\N,5
6,"910005-001","PREMIER","T","F",\N,"GB",\N,7,2
7,"910002-001","PREMIER","T","F",\N,"GB",\N,8,2
8,"910001-001","PREMIER","T","F",\N,"GB",\N,9,2
9,"910003-001","REGION","F","F",15,\N,\N,\N,1
10,"910008-001","REGION","T","F",17,\N,\N,\N,2
11,"910008-001","REGION","T","F",18,\N,\N,\N,2
12,"9010204-001","REGION","T","F",18,\N,\N,\N,1
13,"9010203-001","REGION","T","F",12,\N,\N,\N,1
14,"910005-002","PREMIER","T","F",\N,"GB",\N,7,3
15,"910002-002","PREMIER","T","F",\N,"GB",\N,8,3
16,"910001-002","PREMIER","T","F",\N,"GB",\N,9,3
