"900000-001","DHL Express","DHL Express - International"
"900001-001","Premier Daytime","Premier Daytime - Zone 3"
"900001-002","Premier Evening","Premier Evening - Zone 3"
"900002-001","Premier Daytime","Premier Daytime - Zone 2"
"900002-002","Premier Evening","Premier Evening - Zone 2"
"900003-001","DHL Express","DHL Express - UK"
"900003-001","DHL Express","DHL Express - UK"
"900004-001","DHL Express","DHL Express - North America"
"900005-001","Premier Daytime","Premier Daytime - Zone 1"
"900005-002","Premier Evening","Premier Evening - Zone 1"
"900008-001","DHL Express","DHL Express - Europe"
"900008-001","DHL Express","DHL Express - Europe"
"900008-001","DHL Express","DHL Express - Europe"
"9000202-001","Mainland Europe","Shipping"
"9000203-001","DHL Standard","DHL Standard - Europe Group 1"
"9000204-001","DHL Standard","DHL Standard - Europe Group 2"
